high survival of Pseudomonas fluorescens SBW25	high survival of Pseudomonas_fluorescens_SBW25	survival
high throughput assay kit	high throughput assay kit	kit
high throughput genotyping	high throughput genotyping	genotyping
high yielding bread wheat variety	high yielding bread_wheat variety	variety
HMW glutenin allele Glu	HMW glutenin allele Glu	Glu
HMW glutenin subunit allels	HMW glutenin subunit allels	allels
HMW	HMW	HMW
HMW subunits	HMW subunits	subunits
HMW subunits of glutenin	HMW subunits of glutenin	subunits
HMWx5	HMWx5	HMWx5
homoeologous arms 1RS	homoeologous arm 1RS	1RS
homoeologous group	homoeologous group	group
homoeologous univalent chromosome 5R of rye Secale cerale L	homoeologous univalent chromosome 5R of rye Secale cerale L	5R
homogeneity	homogeneity	homogeneity
homologous chromosomes	homologous chromosome	chromosome
homologous regions	homologous region	region
Homozygotes	homozygote	homozygote
homozygous F3 lines	homozygous F3 line	line
homozygous plants	homozygous plants	plants
homozygous recessive	homozygous recessive	recessive
homozygous resistant plants	homozygous resistant plants	plants
homozygous states	homozygous state	state
Hordeum vulgare	Hordeum_vulgare	Hordeum_vulgare
Hordeum vulgare L.	Hordeum_vulgare_L.	Hordeum_vulgare_L.
host pathogen interaction	host pathogen interaction	interaction
host resistance	host resistance	resistance
HP1 marker	HP1 marker	marker
Hp marker gene	Hp marker gene	gene
http	http	http
human nutrition	human nutrition	nutrition
Hungary	Hungary	Hungary
HW2033	HW2033	HW2033
hybridization signal strength	hybridization signal strength	strength
IARI	IARI	IARI
ideal choice	ideal choice	choice
identical genes	identical gene	gene
identical microsatellite sequences	identical microsatellite sequence	sequence
Identification of a microsatellite marker	identification of a microsatellite marker	identification
Identification of a molecular marker	identification of a molecular marker	identification
Identification of a STS marker	identification of a STS marker	identification
Identification of co	identification of Co	identification
identification of Glu	identification of Glu	identification
Identification of molecular marker	identification of molecular marker	identification
Identification of molecular markers	identification of molecular marker	identification
identification of puroindoline alleles	identification of puroindoline allele	identification
Identification of RAPD marker	identification of RAPD marker	identification
identification of resistance genes	identification of resistance gene	identification
Identification of storage protein genes	identification of storage protein gene	identification
identification of traits	identification of trait	identification
identified BC3F1 plants	identify BC3F1 plants	plants
identified genes	identify gene	gene
identified genomic microsatellites	identify genomic microsatellites	microsatellites
identified groups of B	identify group of B	group
identified groups of sorokininana	identify group of sorokininana	group
identified Sbm1 locus	identify Sbm1 locus	locus
identified several useful SSR	identify several useful SSR	SSR
identity index two sister prolamin lines	identity index two sister prolamin line	line
IGS	IGS	IGS
Illumina BeadArray technology	Illumina BeadArray technology	technology
Ilona	Ilona	Ilona
imidazolinone	imidazolinone	imidazolinone
immature embryos	immature embryo	embryo
imminent release of a BYDV	imminent release of a BYDV	release
immunity	immunity	immunity
immunoblot analysis	immunoblot analysis	analysis
Impact	impact	impact
implementation	implementation	implementation
Implementation of marker assisted selection	implementation of marker assist selection	implementation
implementation of marker	implementation of marker	implementation
Implementation of these DNA based technologies	implementation of these DNA base technology	implementation
implications	implication	implication
importance	importance	importance
importance of BYDV	importance of BYDV	importance
important agronomic traits	important agronomic trait	trait
important breeding objectives	important breeding objective	objective
important breeding traits	important breeding trait	trait
important components	important component	component
important components of bread	important component of bread	component
important determinants of breadmaking quality	important determinant of breadmaking quality	determinant
important disease	important disease	disease
important diseases of wheat	important disease of wheat	disease
important factors	important factor	factor
important fungal diseases of wheat	important fungal disease of wheat	disease
important fungal pathogen of wheat	important fungal pathogen of wheat	pathogen
important genes	important gene	gene
important genetic resource	important genetic resource	resource
important international quarantined disease	important international quarantine disease	disease
important microsatellite marker	important microsatellite marker	marker
important parameter	important parameter	parameter
important pest of wheat	important pest of wheat	pest
important role	important role	role
important rye chromosome 1RS	important rye chromosome 1RS	1RS
important species	important species	species
important step	important step	step
important subunits	important subunits	subunits
important trait alleles	important trait allele	allele
important viral disease of small cereal grains	important viral disease of small cereal grain	disease
important wheat disease	important wheat disease	disease
important wheat diseases	important wheat disease	disease
improper maintenance	improper maintenance	maintenance
improved bread	improve bread	bread
improved dough resistance	improve dough resistance	resistance
improved ease of use	improve ease of use	ease
improved Fusarium head blight resistance	improve Fusarium head blight resistance	resistance
improved grain yield	improve grain yield	yield
improved method	improve method	method
improved varieties	improve variety	variety
improved wheat cultivar	improve wheat cultivar	cultivar
improvement of complex polygenic traits	improvement of complex polygenic trait	improvement
Improvement of mutant wheat	improvement of mutant wheat	improvement
improvement of stem solidness	improvement of stem solidness	improvement
improvement of wheat quality	improvement of wheat quality	improvement
impurity	impurity	impurity
included endochitinase	include endochitinase	endochitinase
inconsistent effects	inconsistent effect	effect
incorporation	incorporation	incorporation
Incorporation of leaf rust resistance genes	incorporation of leaf rust resistance gene	incorporation
incorporation of marker selection	incorporation of marker selection	incorporation
increased expression level	increase expression level	level
increased genetic gain	increase genetic gain	gain
increased understanding	increase understanding	understanding
incremental resistance to FHB	incremental resistance to FHB	resistance
independent Gluyas	independent Gluyas	Gluyas
independent marker	independent marker	marker
Indian wheat genotypes	Indian wheat genotype	genotype
indistinct phenotypes	indistinct phenotype	phenotype
individual HMW glutenin subunits	individual HMW glutenin subunits	subunits
individual kernels	individual kernel	kernel
individual marker	individual marker	marker
individual plants possessed molecular markers	individual plants possess molecular marker	marker
individual wheat chromosomes	individual wheat chromosome	chromosome
induced mutation	induce mutation	mutation
ineffectiveness	ineffectiveness	ineffectiveness
Infection type	infection type	type
influence of genotype	influence of genotype	influence
informativeness	informativeness	informativeness
informative value	informative value	value
inherent limitations	inherent limitation	limitation
inheritance pattern	inheritance pattern	pattern
inherited resistance to Soil-borne cereal mosaic virus	inherit resistance to Soil-borne_cereal_mosaic_virus	resistance
Inhibition to crossability	inhibition to crossability	inhibition
Inia66	Inia66	Inia66
INIA	INIA	INIA
initial population	initial population	population
initial rust	initial rust	rust
Initial screening of T0 lines	initial screening of T0 line	screening
initial stock	initial stock	stock
inoculated nursery	inoculate nursery	nursery
Inoculating	Inoculating	Inoculating
inoculation of Fusarium culmorum	inoculation of Fusarium_culmorum	inoculation
inoculum development	inoculum development	development
'Insave'	'Insave'	'Insave'
insensitive dwarfing genes	insensitive dwarf gene	gene
insertion	insertion	insertion
Insertion site	insertion site	site
inserts	insert	insert
insoluble gluten proteins	insoluble gluten protein	protein
instances	instance	instance
intact circular plasmids	intact circular plasmid	plasmid
integration	integration	integration
integration of marker	integration of marker	integration
intermedium 7E segment	intermedium 7E segment	segment
intermedium chromosome 7E segment	intermedium chromosome 7E segment	segment
intermedium fragment	intermedium fragment	fragment
intermedium segment	intermedium segment	segment
intermedium translocation line	intermedium translocation line	line
internal control	internal control	control
international reference map	international reference map	map
International Triticeae Mapping Initiative population	International Triticeae Mapping Initiative population	population
international wheat varieties	international wheat variety	variety
interstitial deletion	interstitial deletion	deletion
Interval mapping	interval mapping	mapping
intervarietal molecular marker linkage map	intervarietal molecular marker linkage map	map
INTRACHROMOSOMAL MAPPING	INTRACHROMOSOMAL MAPPING	MAPPING
intraspecific cross	intraspecific cross	cross
introduction of novel HMW	introduction of novel HMW	introduction
introgressing important traits	introgressing important trait	trait
Introgression	introgression	introgression
INTROGRESSION	INTROGRESSION	INTROGRESSION
introgression of H. chilense	introgression of H._chilense	introgression
introgression of rye chromosome segments	introgression of rye chromosome segment	introgression
introgression of this gene	introgression of this gene	introgression
introgression of T. tauschii DNA	introgression of T._tauschii DNA	introgression
introgression of wheat	introgression of wheat	introgression
introgression of Yr5	introgression of Yr5	introgression
introgression process	introgression process	process
intron	intron	intron
intron region	intron region	region
intron sequences of wheat genes	intron sequence of wheat gene	sequence
introns	introns	introns
Investigations	investigation	investigation
ion	ion	ion
'IPG	'IPG	'IPG
IP	IP	IP
IsbpFinder	IsbpFinder	IsbpFinder
ISBP markers	ISBP marker	marker
ISBPs	ISBPs	ISBPs
isogenic line	isogenic line	line
isogenic line of wheat carrying	isogenic line of wheat carrying	line
isogenic lines of spring wheat	isogenic line of spring wheat	line
isogenic resistant line	isogenic resistant line	line
ISSR markers	ISSR marker	marker
ITMI population	ITMI population	population
